Name,
United Arab Emirates,327
Antigua and Barbuda,541
Anguilla,559
Albania,1259
Armenia,865
Angola,867
Argentina,387
Austria,394
Australia,10099
Azerbaijan,1014
Barbados,589
Belgium,320
Burkina-Faso,497
Bulgaria,1455
Bahrain,1334
Benin,506
Bermuda,1083
Brunei Darussalam,689
Bolivia,720
Brazil,23000
Bahamas,552
Bhutan,690
Botswana,660
Belarus,420
Belize,671
Canada,318
Switzerland,392
Chile,347
China,14992
Colombia,227
Costa Rica,1108
Cape Verde,666
Cyprus,1249
Czech Republic,189
Germany,37200
Denmark,300
Dominica,590
Dominican Republic,712
Algeria,864
Ecuador,984
Estonia,871
Egypt,334
Spain,39000
Finland,276
Fiji,866
France,30000
United Kingdom,28000
Grenada,723
Ghana,235
Gambia,450
Greece,1141
Guatemala,1044
Guinea Bissau,313
Guyana,350
Hong Kong,215
Honduras,795
Croatia,1469
Hungaria,238
Indonesia,17273
Ireland,452
Israel,225
India,172
Iceland,275
Italy,14021
Jamaica,999
Jordan,898
Japan,12200
Kenya,409
Krygyzstan,665
Cambodia,428
South Korea,52
Kuwait,814
Cayman Islands,1307
Kazakhstan,200
Laos,416
Lebanon,1481
Saint Lucia,902
Sri Lanka,972
Liberia,678
Lithuania,838
Luxembourg,2410
Latvia,1588
Moldova,957
Madagascar,775
Macedonia,717
Mali,511
Mongolia,170
Macau,641
Mauritania,394
Montserrat,173
Malta,1297
Mauritius,762
Malawi,769
Mexico,180
Malaysia,196
Mozambique,770
Namibia,998
Niger,696
Nigeria,381
Nicaragua,644
Netherlands,10920
Nepal,884
Norway,263
New Zealand,413
Oman,551
Panama,1326
Peru,489
Papua New Guinea,762
Philippines,226
Pakistan,308
Poland,197
Portugal,19400
Palau,147
Paraguay,1073
Qatar,1423
Romania,332
Russian Federation,12738
Saudi Arabia,166
Soloman Islands,200
Seychelles,520
Sweden,15622
Singapore,328
Slovenia,786
Slovakia,204
Sierra Leone,656
Senegal,599
Suriname,672
El Salvador,937
Swaziland,764
Chad,719
Thailand,76
Tajikistan,441
Turkmenistan,728
Tunisia,975
Turkey,106
Taiwan,110
Tanzania,1110
Ukraine,208
Uganda,1357
United States of America,630000
Uruguay,1183
Uzbekistan,734
Venezuela,884
British Virgin Islands,836
Vietnam,86
Yemen,452
South Africa,246
Zimbabwe,1268
